"Holdings","Weighting","Type","Ticker","Style","First Bought","Shares Owned","Shares Change","Sector","Market Value","Price","Day Change","Day high/low","Volume","52-Wk high/low","Country","3-Month Return","1-Year Return","3-Year Return","5-Year Return","Market Cap Mil","Currency","Morningstar Rating","YTD Return","P/E","Maturity Date","Coupon %","Yield to Maturity"
"Aviva PLC","0.28","EQUITY","AV.","Large Value","2002-09-30","9035446","824170","Financial Services","61977790","536.5","2.5|0.47%","539.48-533","1720652","570.5-381.5","United Kingdom","1.81","44.79","5.48","17.13","21669.72","GBX","3","13.05","35.36","-","-","-"
"Munchener Ruckversicherungs-Gesellschaft AG","0.28","EQUITY","MUV2","Large Value","2005-03-31","305915","16680","Financial Services","61902914","181.15","0.25|0.14%","181.4-180.7","122897","189.4-146.35","Germany","2.81","27.82","8","13.82","28383.62","EUR","3","5.48","10.62","-","-","-"
"LafargeHolcim Ltd","0.28","EQUITY","LHN","Large Core","1994-01-31","1068968","92387","Basic Materials","61383656","57.95","0.4|0.69%","58-57.4","580059","60.8-43.59","Switzerland","5.59","30.85","-5.26","3.44","34861.3","CHF","3","11","13.93","-","-","-"
"Standard Chartered PLC","0.27","EQUITY","STAN","Large Core","2007-12-31","6000105","547196","Financial Services","60770635","844.3","17.2|2.08%","846.3-835.9","2434224","846.3-578.1","United Kingdom","14.68","36.58","-8.6","-6.97","27223.51","GBX","3","24.64","-","-","-","-"
"Safran SA","0.27","EQUITY","SAF","Large Core","2005-06-30","658145","56973","Industrials","60356169","80.18","0.02|0.03%","80.38-79.6","321093","83.88-59.42","France","6.54","27.13","22.98","25.48","33281.72","EUR","3","18.37","18.52","-","-","-"
"Volvo AB B","0.27","EQUITY","VOLV B","Large Growth","2008-03-31","3525337","399448","Industrials","60119852","139","-","139.6-138.5","1446275","152-86.5","Sweden","-4.07","56.92","19.63","12.94","564818.38","SEK","-","33.69","20","-","-","-"
"Compagnie de Saint-Gobain SA","0.26","EQUITY","SGO","Large Core","2004-09-30","1102743","139095","Basic Materials","58892168","47.37","-0.04|-0.08%","47.4-47.03","655800","52.4-36.72","France","-1.78","30.55","11.01","16.37","26236.14","EUR","3","9.98","20.17","-","-","-"
"BAE Systems PLC","0.26","EQUITY","BA.","Large Core","1990-09-30","7087408","659162","Industrials","58508832","603","-2|-0.33%","606-602","1783268","682.34-515","United Kingdom","-3.51","16.41","16.06","17.9","19266.18","GBX","3","4.43","21.08","-","-","-"
"Danske Bank A/S","0.26","EQUITY","DANSKE","Large Value","2003-05-31","1506486","27778","Financial Services","57959162","253.9","-2.3|-0.9%","256.9-253.8","586179","259.5-176.4","Denmark","3.31","47.58","19.36","25.66","234470.62","DKK","3","23.81","11.53","-","-","-"
"WPP PLC","0.26","EQUITY","WPP","Large Core","2008-12-31","2751154","155698","Consumer Cyclical","57930474","1539.5","-11.5|-0.74%","1553.11-1536","990404","1928.07-1531","United Kingdom","-3.93","-5.16","11.76","16.09","20657.47","GBX","3","-12.55","14.36","-","-","-"
