"Holdings","Weighting","Type","Ticker","Style","First Bought","Shares Owned","Shares Change","Sector","Market Value","Price","Day Change","Day high/low","Volume","52-Wk high/low","Country","3-Month Return","1-Year Return","3-Year Return","5-Year Return","Market Cap Mil","Currency","Morningstar Rating","YTD Return","P/E","Maturity Date","Coupon %","Yield to Maturity"
"Standard Bank Group Ltd","0.3","EQUITY","SBK","Large Value","2011-10-31","301842","6714","Financial Services","3372621","16473","161|0.99%","16473-16165","3739040","16473-13020","South Africa","11.03","25.17","7.53","10.99","263952.53","ZAC","-","11.45","12.01","-","-","-"
"PJSC Lukoil ADR","0.29","EQUITY","LKOD","Large Value","2015-08-31","68904","0","Energy","3290166","46.67","-1.02|-2.15%","47.57-46.46","743039","62.92-41.08","Russia","-1.99","16.32","-0.73","1.16","33464.5","USD","-","-13.23","8.74","-","-","-"
"PetroChina Co Ltd H","0.29","EQUITY","00857","Large Core","2011-10-31","4944000","132000","Energy","3287722","5.07","0.04|0.8%","5.09-5.04","18869404","6.38-4.72","China","-7.42","-4.8","-19.13","-7.45","1625637.88","HKD","3","-12.22","29","-","-","-"
"Yum China Holdings Inc","0.29","EQUITY","YUMC","Large Growth","2016-11-30","85155","1989","Consumer Cyclical","3270804","35.89","-0.32|-0.88%","36.18-35.8","2124882","42.12-23.79","China","5.19","-","-","-","13757.94","USD","3","37.4","24.58","-","-","-"
"Chunghwa Telecom Co Ltd","0.28","EQUITY","2412","Large Value","2011-10-31","890000","21000","Communication Services","3181130","102.5","-0.5|-0.49%","103-102.5","1374","117-99.5","Taiwan","5.83","-7.35","9.01","6.87","799017","TWD","-","6.35","20.85","-","-","-"
"Axis Bank Ltd","0.28","EQUITY","AXISBANK","Large Growth","2012-05-31","391156","8831","Financial Services","3116939","515.1","-9.55|-1.82%","529.65-512","8268116","638.3-424.4","India","2.05","-4.37","10.24","21.92","1234550","INR","-","15.59","31.26","-","-","-"
"PT Astra International Tbk","0.28","EQUITY","ASII","Large Core","2011-10-31","4728100","93600","Consumer Cyclical","3105922","-","-","-","-","-","-","-9.91","9.33","3.28","6.1","321844256","IDR","-","-2.56","18.79","-","-","-"
"Cathay Financial Holding Co Ltd","0.27","EQUITY","2882","Large Value","2011-10-31","1909641","51000","Financial Services","2983963","49.15","-0.2|-0.41%","49.35-49.1","2394","51.2-35.6","Taiwan","6.1","41.27","2.54","18.28","619994.44","TWD","-","6.54","12.37","-","-","-"
"Public Bank Bhd","0.26","EQUITY","1295","Large Core","2011-10-31","633700","16000","Financial Services","2969405","20.62","0.08|0.39%","20.64-20.54","518700","20.66-19.38","Malaysia","2.91","8.09","3.78","11.75","79315.09","MYR","-","5.78","14.97","-","-","-"
"Petroleo Brasileiro SA Petrobras","0.26","EQUITY","PETR3","Large Value","2011-10-31","703100","31000","Energy","2959323","13.64","0.03|0.22%","13.73-13.5","4538800","19.72-12.47","Brazil","-5.01","2.25","-10.4","-7.03","175069.89","BRL","-","-19.48","-","-","-","-"
"Firstrand Ltd","0.26","EQUITY","FSR","Large Core","2011-10-31","785618","19187","Financial Services","2953780","5200","10|0.19%","5203-5157","9171960","5446-4338","South Africa","4.31","11.67","10.16","17.23","291668.75","ZAC","-","0.04","12.16","-","-","-"
"Formosa Plastics Corp","0.26","EQUITY","1301","Large Core","2011-10-31","972520","25000","Basic Materials","2894088","90.6","-0.9|-0.98%","91.5-90.4","1604","98.1-75.9","Taiwan","5.95","21.8","9.28","6.08","582465.31","TWD","-","7.74","13.38","-","-","-"
